instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant5400 glasgowbiasedthreads36v1 glasgowbiasedthreads36v2 glasgowbiasedconstant5400threads36v1 glasgowbiasedconstant5400threads36v2 glasgowbiasedconstant5400triggeredthreads36v1 glasgowbiasedconstant5400triggeredthreads36v2 glasgowbiasedrestartsconstant5400triggeredmpih5x2t18 glasgowbiasedrestartsconstant5400triggeredmpih10x2t18 glasgowrandomrestartsconstant5400triggeredmpih5x2t18 glasgowbiasedrestartsconstant5400triggerednr32mpih5x2t18 glasgowbiasedtimer100 glasgowbiasedtimer100triggeredthreads36v1 glasgowbiasedtimer100triggeredthreads36v2 glasgowbiasedtimer100triggeredthreads36mpih5x2t18 glasgowbiasedtimer100triggeredthreads36mpih10x2t18 glasgowbiasedtimer100triggeredthreads36mpih20x2t18
F.04 1 1 17 23 19 17 17 19 17 17 17 544 519 591 467 476 311 0 0 0 0 17 385 389 0 0 0
C.18 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 0 0 0 0 1 3 2 0 0 0
A.04 1 1 1 1 1 1 1 1 1 1 1 1 3 1 4 6 13 0 0 0 0 1 5 6 0 0 0
C.02 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 0 0 0 0 1 1 2 0 0 0
E.01 1 0 1 1 1 1 2 1 1 1 1 3 3 3 1 3 4 0 0 0 0 1 3 2 0 0 0
F.20 1 1 699 237 466 711 14567 466 731 2040 711 19548 19330 13804 13502 13771 20812 0 0 0 0 711 20564 13773 0 0 0
B.20 1 1 2 2 2 2 2 2 2 2 2 39 37 38 40 37 37 0 0 0 0 2 38 38 0 0 0
C.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 0 0 0 1 1 1 0 0 0
B.11 1 1 1 1 1 1 1 1 1 1 1 2 1 1 3 1 1 0 0 0 0 1 2 3 0 0 0
C.10 1 1 2 2 2 2 2 2 2 2 2 41 38 37 37 37 37 0 0 0 0 2 37 39 0 0 0
B.06 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 0 0 0 1 4 1 0 0 0
F.08 1 1 47 158 86 51 361 86 51 51 51 1362 1245 1465 1432 1462 1507 0 0 0 0 51 1442 1378 0 0 0
B.07 1 1 2 2 2 2 2 2 2 2 2 37 37 37 37 38 39 0 0 0 0 2 38 37 0 0 0
E.04 1 0 1 1 1 1 2 1 1 1 1 2 2 3 2 2 1 0 0 0 0 1 2 3 0 0 0
C.01 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 0 0 0 0 1 2 2 0 0 0
B.10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 0 0 0 0 1 2 1 0 0 0
A.15 1 1 1 1 1 1 1 1 1 1 1 5 1 4 5 3 1 0 0 0 0 1 2 3 0 0 0
C.19 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 2 2 2 0 0 0
B.02 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 6 1 0 0 0 0 1 5 5 0 0 0
E.06 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
E.18 1 0 1 1 1 1 2 1 1 1 1 1 2 2 2 3 2 0 0 0 0 1 2 2 0 0 0
C.20 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 0 0 0 0 1 1 2 0 0 0
F.02 1 1 1 1 1 1 1 1 1 1 1 3 3 1 3 1 2 0 0 0 0 1 3 1 0 0 0
F.11 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 2 0 0 0 0 1 5 5 0 0 0
F.12 1 1 1 1 1 1 1 1 1 1 1 3 1 4 3 4 2 0 0 0 0 1 6 4 0 0 0
E.05 1 0 1 1 1 1 2 1 1 1 1 1 2 2 4 3 3 0 0 0 0 1 2 3 0 0 0
B.16 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 1 0 0 0 0 1 1 1 0 0 0
A.08 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 2 6 0 0 0 0 1 3 1 0 0 0
C.14 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 0 0 0 0 1 2 2 0 0 0
F.16 1 1 5 5 5 5 5 5 5 5 5 91 145 145 137 84 108 0 0 0 0 5 109 105 0 0 0
F.06 1 1 23 26 24 28 76 24 28 28 28 566 590 571 591 634 459 0 0 0 0 28 450 500 0 0 0
A.03 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 2 0 0 0 0 1 1 2 0 0 0
E.19 1 0 1 1 1 1 2 1 1 1 1 2 3 2 3 2 3 0 0 0 0 1 2 3 0 0 0
C.15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 3 0 0 0
A.16 1 1 1 1 1 1 1 1 1 1 1 2 4 4 2 4 2 0 0 0 0 1 6 4 0 0 0
B.14 1 1 1 1 1 1 1 1 1 1 1 4 1 1 2 1 9 0 0 0 0 1 1 1 0 0 0
A.02 1 1 1 1 1 1 1 1 1 1 1 3 1 5 5 6 2 0 0 0 0 1 6 3 0 0 0
F.14 1 1 1 1 1 1 1 1 1 1 1 5 1 1 2 1 3 0 0 0 0 1 1 1 0 0 0
F.05 1 1 2 2 2 2 2 2 2 2 2 35 30 34 36 34 37 0 0 0 0 2 36 38 0 0 0
B.09 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0
A.01 1 1 1 1 1 1 1 1 1 1 1 4 1 2 9 2 5 0 0 0 0 1 4 3 0 0 0
C.05 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 1 1 0 0 0 0 1 3 1 0 0 0
B.01 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 0 0 0 0 1 1 1 0 0 0
A.09 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 3 4 0 0 0
A.07 1 1 1 1 1 1 1 1 1 1 1 4 1 5 8 2 3 0 0 0 0 1 3 5 0 0 0
F.03 1 1 1 1 1 1 1 1 1 1 1 1 2 1 4 1 2 0 0 0 0 1 2 1 0 0 0
E.12 1 0 1 1 1 1 2 1 1 1 1 2 2 3 2 2 2 0 0 0 0 1 2 3 0 0 0
C.06 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0
C.09 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 3 1 0 0 0 0 1 2 1 0 0 0
B.17 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0
C.07 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 0 0 0 0 1 4 1 0 0 0
