instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced pathladinduced vf2induced vf3induced riinduced
F.04 1 1 120 197 045 NaN 1399 0.0307961
C.18 1 1 197 217 143 NaN 5 0.00977302
A.04 1 1 7 8 003 9 0 0.00313807
C.02 1 1 279 190 127 NaN 178 0.02033
E.01 1 0 148 131 031 NaN 1 NaN
F.20 1 1 144 144 3036 143620 NaN NaN
B.20 1 1 73 70 053 NaN 3 0.00516701
C.08 1 1 197 186 132 NaN 52 0.04706
B.11 1 1 84 70 065 NaN 2 0.00484991
C.10 1 1 297 268 123 NaN 3 0.00372601
B.06 1 1 118 70 050 480341 2 0.00272179
F.08 1 1 138 152 930 32104 NaN NaN
B.07 1 1 73 79 034 16496 1 0.00361204
E.04 1 0 123 123 030 NaN 1 230.807
C.01 1 1 201 292 117 NaN 4 0.00125289
B.10 1 1 80 70 039 175024 3 0.00087595
A.15 1 1 7 7 002 2305 1 0.000241995
C.19 1 1 197 189 127 NaN 26 0.0083549
B.02 1 1 73 70 035 3984 3 0.00141311
E.06 1 0 133 135 028 NaN 1 23.4388
E.18 1 0 138 122 020 144711 1 0.367281
C.20 1 1 299 191 123 NaN 3 0.000818014
F.02 1 1 125 121 053 49924 2053 0.56092
F.11 1 1 110 109 050 NaN 125 0.0319149
F.12 1 1 124 119 028 15 50 0.00346804
E.05 1 0 154 155 038 28829 1 NaN
B.16 1 1 75 120 053 9893 1 0.000448942
A.08 1 1 11 7 002 11 0 0.000447035
C.14 1 1 200 192 119 NaN 4 0.000845909
F.16 1 1 203 112 052 NaN 416 0.0035789
F.06 1 1 137 137 044 NaN 21028 2.41929
A.03 1 1 7 7 005 45 1 0.000773907
E.19 1 0 116 205 023 NaN 0 0.000156164
C.15 1 1 197 189 129 NaN 5 0.00242805
A.16 1 1 7 7 006 17348 0 0.000266075
B.14 1 1 74 72 049 NaN 7 0.00180697
A.02 1 1 7 7 005 10 0 0.000842094
F.14 1 1 112 112 048 NaN 28 0.0401051
F.05 1 1 117 118 123 9248 29572 39.6211
B.09 1 1 74 121 036 NaN 3 0.00189114
A.01 1 1 7 12 006 32 0 0.038692
C.05 1 1 200 189 146 NaN 4 0.0107641
B.01 1 1 80 119 052 482904 1 0.00112796
A.09 1 1 7 7 005 160 0 0.000550985
A.07 1 1 7 6 004 118 0 0.000311136
F.03 1 1 115 115 052 1830 86 0.00655103
