instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced
F.04 1 1 2 2
C.18 1 1 44 42
A.04 1 1 0 0
C.02 1 1 44 44
E.01 1 0 0 0
F.20 1 1 2 2
B.20 1 1 15 16
C.08 1 1 43 80
B.11 1 1 18 16
C.10 1 1 43 43
B.06 1 1 29 17
F.08 1 1 2 2
B.07 1 1 15 16
E.04 1 0 0 0
C.01 1 1 44 43
B.10 1 1 15 29
A.15 1 1 0 0
C.19 1 1 43 43
B.02 1 1 15 15
E.06 1 0 0 0
E.18 1 0 0 0
C.20 1 1 64 43
F.02 1 1 2 2
F.11 1 1 2 2
F.12 1 1 2 2
E.05 1 0 0 0
B.16 1 1 15 15
A.08 1 1 1 0
C.14 1 1 43 43
F.16 1 1 3 3
F.06 1 1 2 2
A.03 1 1 0 0
E.19 1 0 0 0
C.15 1 1 43 82
A.16 1 1 0 0
B.14 1 1 15 15
A.02 1 1 0 1
F.14 1 1 2 2
F.05 1 1 2 3
B.09 1 1 16 15
A.01 1 1 0 0
C.05 1 1 43 47
B.01 1 1 17 20
A.09 1 1 0 0
A.07 1 1 0 0
F.03 1 1 2 2
E.12 1 0 0 0
C.06 1 1 43 43
C.09 1 1 43 42
B.17 1 1 15 15
C.07 1 1 43 43
E.09 1 0 0 0
E.17 1 0 0 0
C.11 1 1 61 43
F.10 1 0 0 0
A.17 1 1 1 1
B.15 1 1 16 15
E.03 1 0 0 0
F.19 1 1 2 2
A.12 1 1 0 0
B.08 1 1 15 15
F.17 1 1 2 2
C.04 1 1 48 43
B.19 1 1 15 29
C.16 1 1 44 44
C.17 1 1 43 43
E.08 1 0 0 0
F.13 1 1 2 2
A.20 1 1 0 0
E.02 1 0 0 0
E.16 1 0 0 0
B.12 1 1 16 15
F.09 1 1 3 2
A.10 1 1 0 0
F.18 1 1 2 2
E.10 1 1 2 2
A.06 1 1 0 0
E.15 1 0 0 0
E.07 1 0 0 0
E.11 1 0 0 0
B.03 1 1 15 15
B.18 1 1 16 15
C.03 1 1 44 43
A.18 1 1 0 0
F.15 1 1 2 2
A.19 1 1 0 0
C.12 1 1 43 42
B.05 1 1 16 16
A.13 1 1 0 0
A.05 1 1 1 0
F.01 1 1 2 2
E.20 1 0 0 0
B.13 1 1 16 16
A.14 1 1 1 1
B.04 1 1 15 15
C.13 1 1 43 44
F.07 1 1 2 2
E.13 1 0 0 0
E.14 1 0 0 0
A.11 1 1 0 0
si6_r005_m400.07 7 1 24 70
si6_r005_m400.00 7 1 36 64
si6_r005_m400.01 7 1 19 21
si6_r005_m400.02 7 1 11 13
si6_r005_m400.04 7 1 9 16
si6_r005_m400.05 7 1 2 2
si6_r005_m400.09 7 1 4 4
si6_r005_m400.03 7 1 4 2
si6_r005_m400.06 7 1 8 4
si6_r005_m400.08 7 1 42 40
si6_m4Dr6_m625.04 6 1 7 7
si6_m4Dr6_m625.01 6 1 7 7
si6_m4Dr6_m625.09 6 1 10 11
si6_m4Dr6_m625.07 6 1 7 10
si6_m4Dr6_m625.00 6 1 7 7
si6_m4Dr6_m625.08 6 1 7 7
si6_m4Dr6_m625.05 6 1 7 7
si6_m4Dr6_m625.06 6 1 7 7
si6_m4Dr6_m625.02 6 1 7 7
si6_m4Dr6_m625.03 6 1 10 7
si4_m4Dr2_m625.09 6 1 3 3
si4_m4Dr2_m625.04 6 1 8 6
si4_m4Dr2_m625.02 6 1 3 4
si4_m4Dr2_m625.07 6 1 4 4
si4_m4Dr2_m625.00 6 1 3 3
si4_m4Dr2_m625.08 6 1 3 3
si4_m4Dr2_m625.01 6 1 3 3
si4_m4Dr2_m625.06 6 1 3 3
si4_m4Dr2_m625.03 6 1 3 3
si4_m4Dr2_m625.05 6 1 4 3
si2_r001_m600.00 7 1 3 6
si2_r001_m600.06 7 1 48 39
si2_r001_m600.04 7 1 10 4
si2_r001_m600.07 7 1 11 25
si2_r001_m600.02 7 1 43 3
si2_r001_m600.08 7 1 22 37
si2_r001_m600.03 7 1 23 11
si2_r001_m600.01 7 1 4 4
si2_r001_m600.05 7 1 28 32
si2_r001_m600.09 7 1 3 2
si2_m4Dr2_m256.09 6 1 0 0
si2_m4Dr2_m256.03 6 1 33 35
si2_m4Dr2_m256.04 6 1 4 2
si2_m4Dr2_m256.07 6 1 0 0
si2_m4Dr2_m256.00 6 1 0 0
si2_m4Dr2_m256.06 6 1 1 2
si2_m4Dr2_m256.08 6 1 0 0
si2_m4Dr2_m256.05 6 1 0 0
si2_m4Dr2_m256.01 6 1 0 0
si2_m4Dr2_m256.02 6 1 0 0
si6_r001_m600.09 7 1 7 7
si6_r001_m600.00 7 1 7 7
si6_r001_m600.07 7 1 7 7
si6_r001_m600.03 7 1 8 7
si6_r001_m600.01 7 1 7 7
si6_r001_m600.06 7 1 7 8
si6_r001_m600.08 7 1 8 7
si6_r001_m600.02 7 1 7 7
si6_r001_m600.04 7 1 7 7
si6_r001_m600.05 7 1 7 7
si2_m4Dr2_m1296.05 6 1 3 3
si2_m4Dr2_m1296.09 6 1 3 3
si2_m4Dr2_m1296.02 6 1 33 39
si2_m4Dr2_m1296.07 6 1 3 4
si2_m4Dr2_m1296.00 6 1 3 3
si2_m4Dr2_m1296.06 6 1 3 3
si2_m4Dr2_m1296.08 6 1 3 3
si2_m4Dr2_m1296.01 6 1 6 7
si2_m4Dr2_m1296.03 6 1 3 3
si2_m4Dr2_m1296.04 6 1 3 3
si4_b06m_m800.08 4 1 6 5
si4_b06m_m800.00 4 1 5 5
si4_b06m_m800.06 4 1 5 5
si4_b06m_m800.05 4 1 5 5
si4_b06m_m800.04 4 1 5 5
si4_b06m_m800.09 4 1 5 5
si4_b06m_m800.01 4 1 5 5
si4_b06m_m800.07 4 1 5 5
si4_b06m_m800.03 4 1 5 5
si4_b06m_m800.02 4 1 5 5
si6_m4Dr2_m625.08 6 1 7 7
si6_m4Dr2_m625.09 6 1 13 9
si6_m4Dr2_m625.05 6 1 7 7
si6_m4Dr2_m625.01 6 1 7 7
si6_m4Dr2_m625.06 6 1 7 7
si6_m4Dr2_m625.00 6 1 7 7
si6_m4Dr2_m625.03 6 1 7 7
si6_m4Dr2_m625.02 6 1 7 7
si6_m4Dr2_m625.07 6 1 7 7
si6_m4Dr2_m625.04 6 1 7 9
si2_m4D_m1296.01 5 1 259 99
si2_m4D_m1296.08 5 1 3 3
si2_m4D_m1296.06 5 1 4 39
si2_m4D_m1296.05 5 1 4 4
si2_m4D_m1296.09 5 1 4 4
si2_m4D_m1296.03 5 1 11 145
si2_m4D_m1296.07 5 1 3 3
si2_m4D_m1296.02 5 1 4 4
si2_m4D_m1296.04 5 1 9 4
si2_m4D_m1296.00 5 1 4 6
si4_b03_m800.05 3 1 5 5
si4_b03_m800.00 3 1 5 5
si4_b03_m800.08 3 1 5 5
si4_b03_m800.09 3 1 5 5
si4_b03_m800.03 3 1 5 5
si4_b03_m800.02 3 1 5 5
si4_b03_m800.04 3 1 5 5
si4_b03_m800.01 3 1 5 5
si4_b03_m800.06 3 1 5 5
si4_b03_m800.07 3 1 5 5
si6_m4D_m1296.02 5 1 31 36
si6_m4D_m1296.07 5 1 79 302
si6_m4D_m1296.05 5 1 33 36
si6_m4D_m1296.09 5 1 65 62
si6_m4D_m1296.00 5 1 64166 4851
si6_m4D_m1296.08 5 1 33 35
si6_m4D_m1296.04 5 1 32 36
si6_m4D_m1296.06 5 1 302 212
si6_m4D_m1296.01 5 1 766 659
si6_m4D_m1296.03 5 1 1354 2412
si6_r001_m200.05 7 1 0 0
si6_r001_m200.09 7 1 0 0
si6_r001_m200.07 7 1 0 0
si6_r001_m200.02 7 1 0 0
si6_r001_m200.01 7 1 0 0
si6_r001_m200.00 7 1 0 0
si6_r001_m200.04 7 1 0 0
si6_r001_m200.06 7 1 0 0
si6_r001_m200.08 7 1 0 0
si6_r001_m200.03 7 1 0 0
si4_b06_m400.06 3 1 0 0
si4_b06_m400.07 3 1 0 0
si4_b06_m400.09 3 1 0 0
si4_b06_m400.01 3 1 0 0
si4_b06_m400.04 3 1 0 0
si4_b06_m400.03 3 1 0 0
si4_b06_m400.00 3 1 0 0
si4_b06_m400.05 3 1 0 0
si4_b06_m400.08 3 1 0 0
si4_b06_m400.02 3 1 0 0
si2_m4Dr6_m256.06 6 1 0 0
si2_m4Dr6_m256.05 6 1 0 0
si2_m4Dr6_m256.09 6 1 0 0
si2_m4Dr6_m256.00 6 1 0 0
si2_m4Dr6_m256.07 6 1 0 0
si2_m4Dr6_m256.04 6 1 0 0
si2_m4Dr6_m256.02 6 1 0 0
si2_m4Dr6_m256.01 6 1 0 0
si2_m4Dr6_m256.08 6 1 0 0
si2_m4Dr6_m256.03 6 1 0 0
si6_r01_m200.04 7 1 1 1
si6_r01_m200.08 7 1 8 5
si6_r01_m200.02 7 1 18 14
si6_r01_m200.09 7 1 3 12
si6_r01_m200.07 7 1 7 5
si6_r01_m200.00 7 1 23 38
si6_r01_m200.01 7 1 1 2
si6_r01_m200.03 7 1 56 50
si6_r01_m200.05 7 1 10 10
si6_r01_m200.06 7 1 8 17
si2_b03m_m800.03 4 1 1 1
si2_b03m_m800.02 4 1 2 2
si2_b03m_m800.09 4 1 1 1
si2_b03m_m800.04 4 1 1 1
si2_b03m_m800.06 4 1 1 1
si2_b03m_m800.05 4 1 1 1
si2_b03m_m800.01 4 1 1 1
si2_b03m_m800.08 4 1 1 1
si2_b03m_m800.07 4 1 1 1
si2_b03m_m800.00 4 1 1 1
si2_r001_m200.06 7 1 0 0
si2_r001_m200.01 7 1 0 0
si2_r001_m200.02 7 1 0 0
si2_r001_m200.07 7 1 0 0
si2_r001_m200.04 7 1 0 0
si2_r001_m200.05 7 1 1 10
si2_r001_m200.09 7 1 33 2
si2_r001_m200.03 7 1 0 0
si2_r001_m200.00 7 1 0 0
si2_r001_m200.08 7 1 0 0
si6_b03m_m800.01 4 1 11 11
si6_b03m_m800.08 4 1 14 11
si6_b03m_m800.03 4 1 11 11
si6_b03m_m800.00 4 1 14 11
si6_b03m_m800.04 4 1 11 11
si6_b03m_m800.05 4 1 15 11
si6_b03m_m800.07 4 1 11 12
si6_b03m_m800.06 4 1 11 10
si6_b03m_m800.09 4 1 11 11
si6_b03m_m800.02 4 1 11 11
si4_r005_m200.00 7 1 6 6
si4_r005_m200.08 7 1 0 0
si4_r005_m200.02 7 1 3 4
si4_r005_m200.05 7 1 0 0
si4_r005_m200.06 7 1 7 2
si4_r005_m200.04 7 1 1 1
si4_r005_m200.07 7 1 1 2
si4_r005_m200.09 7 1 2 3
si4_r005_m200.01 7 1 0 1
si4_r005_m200.03 7 1 3 5
si6_b09m_m400.03 4 1 1 2
si6_b09m_m400.07 4 1 1 1
si6_b09m_m400.00 4 1 1 1
si6_b09m_m400.04 4 1 2 2
si6_b09m_m400.06 4 1 1 1
si6_b09m_m400.08 4 1 1 1
si6_b09m_m400.02 4 1 1 1
si6_b09m_m400.05 4 1 2 1
si6_b09m_m400.09 4 1 1 1
si6_b09m_m400.01 4 1 1 1
si2_b09_m200.08 3 1 0 0
si2_b09_m200.01 3 1 0 0
si2_b09_m200.06 3 1 0 0
si2_b09_m200.05 3 1 0 0
si2_b09_m200.00 3 1 0 0
si2_b09_m200.02 3 1 0 0
si2_b09_m200.03 3 1 0 0
si2_b09_m200.04 3 1 0 0
si2_b09_m200.09 3 1 0 0
si2_b09_m200.07 3 1 0 0
si6_r01_m600.02 7 1 1211 1801
si6_r01_m600.06 7 1 15 343
si6_r01_m600.09 7 1 4555 5394
si6_r01_m600.08 7 1 41275 55948
si6_r01_m600.05 7 1 75 666
