instance family sequentialixinduced3 sequentialixinducedrestarts5
F.04 1 231 233
C.18 1 1388 1608
A.04 1 67 64
C.02 1 1729 1783
E.01 1 NaN NaN
F.20 1 268 225
B.20 1 521 535
C.08 1 1796 1666
B.11 1 497 639
C.10 1 1575 1515
B.06 1 501 562
F.08 1 224 258
B.07 1 527 540
E.04 1 NaN NaN
C.01 1 1689 1494
B.10 1 556 581
A.15 1 68 93
C.19 1 1506 1548
B.02 1 479 478
E.06 1 NaN NaN
E.18 1 NaN NaN
C.20 1 1479 1606
F.02 1 268 226
F.11 1 236 293
F.12 1 230 266
E.05 1 NaN NaN
B.16 1 558 574
A.08 1 54 45
C.14 1 1638 1780
F.16 1 223 191
F.06 1 220 184
A.03 1 63 48
E.19 1 NaN NaN
C.15 1 1628 1423
A.16 1 69 54
B.14 1 473 573
A.02 1 68 63
F.14 1 231 244
F.05 1 238 184
B.09 1 537 512
A.01 1 53 65
C.05 1 1445 1514
B.01 1 578 464
A.09 1 69 67
A.07 1 73 62
F.03 1 256 226
E.12 1 NaN NaN
C.06 1 1692 1490
C.09 1 1523 1418
B.17 1 448 536
C.07 1 1864 1454
E.09 1 NaN NaN
E.17 1 NaN NaN
C.11 1 1472 1447
F.10 1 NaN NaN
A.17 1 66 39
B.15 1 523 465
E.03 1 NaN NaN
F.19 1 220 183
A.12 1 39 53
B.08 1 533 496
F.17 1 195 219
C.04 1 1711 1461
B.19 1 435 481
C.16 1 1733 1492
C.17 1 1451 1550
E.08 1 NaN NaN
F.13 1 176 224
A.20 1 57 56
E.02 1 NaN NaN
E.16 1 NaN NaN
B.12 1 436 404
F.09 1 259 171
A.10 1 39 43
F.18 1 290 243
E.10 1 323 258
A.06 1 50 58
E.15 1 NaN NaN
E.07 1 NaN NaN
E.11 1 NaN NaN
B.03 1 408 525
B.18 1 563 392
C.03 1 1698 1512
A.18 1 40 56
F.15 1 189 269
A.19 1 59 59
C.12 1 1651 1524
B.05 1 573 497
A.13 1 58 57
A.05 1 55 57
F.01 1 255 213
E.20 1 NaN NaN
B.13 1 412 486
A.14 1 37 58
B.04 1 569 497
C.13 1 1523 1495
F.07 1 216 270
E.13 1 NaN NaN
E.14 1 NaN NaN
A.11 1 63 33
si6_r005_m400.07 7 1063 731
si6_r005_m400.00 7 1496 1916
si6_r005_m400.01 7 995 1219
si6_r005_m400.02 7 709 633
si6_r005_m400.04 7 544 878
si6_r005_m400.05 7 528 237
si6_r005_m400.09 7 400 417
si6_r005_m400.03 7 465 349
si6_r005_m400.06 7 309 410
si6_r005_m400.08 7 1394 1336
si6_m4Dr6_m625.04 6 384 408
si6_m4Dr6_m625.01 6 359 378
si6_m4Dr6_m625.09 6 398 412
si6_m4Dr6_m625.07 6 295 351
si6_m4Dr6_m625.00 6 362 341
si6_m4Dr6_m625.08 6 343 463
si6_m4Dr6_m625.05 6 316 345
si6_m4Dr6_m625.06 6 391 291
si6_m4Dr6_m625.02 6 409 422
si6_m4Dr6_m625.03 6 388 336
si4_m4Dr2_m625.09 6 323 296
si4_m4Dr2_m625.04 6 239 243
si4_m4Dr2_m625.02 6 301 313
si4_m4Dr2_m625.07 6 202 217
si4_m4Dr2_m625.00 6 301 262
si4_m4Dr2_m625.08 6 306 309
si4_m4Dr2_m625.01 6 295 288
si4_m4Dr2_m625.06 6 215 210
si4_m4Dr2_m625.03 6 269 219
si4_m4Dr2_m625.05 6 266 265
si2_r001_m600.00 7 222 238
si2_r001_m600.06 7 437 475
si2_r001_m600.04 7 307 258
si2_r001_m600.07 7 306 391
si2_r001_m600.02 7 275 170
si2_r001_m600.08 7 379 431
si2_r001_m600.03 7 415 298
si2_r001_m600.01 7 250 193
si2_r001_m600.05 7 452 465
si2_r001_m600.09 7 242 276
si2_m4Dr2_m256.09 6 23 39
si2_m4Dr2_m256.03 6 237 356
si2_m4Dr2_m256.04 6 106 120
si2_m4Dr2_m256.07 6 35 37
si2_m4Dr2_m256.00 6 22 43
si2_m4Dr2_m256.06 6 89 73
si2_m4Dr2_m256.08 6 42 36
si2_m4Dr2_m256.05 6 34 21
si2_m4Dr2_m256.01 6 44 37
si2_m4Dr2_m256.02 6 29 26
si6_r001_m600.09 7 397 449
si6_r001_m600.00 7 369 363
si6_r001_m600.07 7 423 411
si6_r001_m600.03 7 396 441
si6_r001_m600.01 7 483 386
si6_r001_m600.06 7 421 452
si6_r001_m600.08 7 340 403
si6_r001_m600.02 7 337 337
si6_r001_m600.04 7 435 350
si6_r001_m600.05 7 435 420
si2_m4Dr2_m1296.05 6 871 1000
si2_m4Dr2_m1296.09 6 988 992
si2_m4Dr2_m1296.02 6 1397 1426
si2_m4Dr2_m1296.07 6 1070 868
si2_m4Dr2_m1296.00 6 900 1022
si2_m4Dr2_m1296.06 6 1123 1086
si2_m4Dr2_m1296.08 6 1111 935
si2_m4Dr2_m1296.01 6 1056 1001
si2_m4Dr2_m1296.03 6 1007 874
si2_m4Dr2_m1296.04 6 1066 1029
si4_b06m_m800.08 4 470 426
si4_b06m_m800.00 4 368 506
si4_b06m_m800.06 4 361 516
si4_b06m_m800.05 4 369 373
si4_b06m_m800.04 4 508 425
si4_b06m_m800.09 4 499 470
si4_b06m_m800.01 4 466 476
si4_b06m_m800.07 4 389 424
si4_b06m_m800.03 4 526 391
si4_b06m_m800.02 4 455 515
si6_m4Dr2_m625.08 6 383 390
si6_m4Dr2_m625.09 6 324 385
si6_m4Dr2_m625.05 6 386 329
si6_m4Dr2_m625.01 6 326 298
si6_m4Dr2_m625.06 6 337 384
si6_m4Dr2_m625.00 6 337 314
si6_m4Dr2_m625.03 6 365 453
si6_m4Dr2_m625.02 6 342 425
si6_m4Dr2_m625.07 6 378 370
si6_m4Dr2_m625.04 6 323 381
si2_m4D_m1296.01 5 1217 1817
si2_m4D_m1296.08 5 971 877
si2_m4D_m1296.06 5 2067 2077
si2_m4D_m1296.05 5 806 823
si2_m4D_m1296.09 5 914 969
si2_m4D_m1296.03 5 993 1481
si2_m4D_m1296.07 5 842 906
si2_m4D_m1296.02 5 898 785
si2_m4D_m1296.04 5 1100 877
si2_m4D_m1296.00 5 903 798
si4_b03_m800.05 3 462 495
si4_b03_m800.00 3 521 518
si4_b03_m800.08 3 614 434
si4_b03_m800.09 3 493 603
si4_b03_m800.03 3 468 554
si4_b03_m800.02 3 601 494
si4_b03_m800.04 3 547 486
si4_b03_m800.01 3 509 481
si4_b03_m800.06 3 513 596
si4_b03_m800.07 3 526 447
si6_m4D_m1296.02 5 1882 1524
si6_m4D_m1296.07 5 2672 4354
si6_m4D_m1296.05 5 1961 1529
si6_m4D_m1296.09 5 2773 2327
si6_m4D_m1296.00 5 644061 25353
si6_m4D_m1296.08 5 1550 1560
si6_m4D_m1296.04 5 1767 1629
si6_m4D_m1296.06 5 2472 2907
si6_m4D_m1296.01 5 182988 5539
si6_m4D_m1296.03 5 7176 12076
si6_r001_m200.05 7 29 48
si6_r001_m200.09 7 24 39
si6_r001_m200.07 7 44 39
si6_r001_m200.02 7 39 39
si6_r001_m200.01 7 28 45
si6_r001_m200.00 7 37 48
si6_r001_m200.04 7 28 41
si6_r001_m200.06 7 43 39
si6_r001_m200.08 7 23 23
si6_r001_m200.03 7 40 49
si4_b06_m400.06 3 187 174
si4_b06_m400.07 3 157 161
si4_b06_m400.09 3 157 141
si4_b06_m400.01 3 160 146
si4_b06_m400.04 3 152 160
si4_b06_m400.03 3 175 138
si4_b06_m400.00 3 152 145
si4_b06_m400.05 3 139 144
si4_b06_m400.08 3 110 96
si4_b06_m400.02 3 93 167
si2_m4Dr6_m256.06 6 47 40
si2_m4Dr6_m256.05 6 38 23
si2_m4Dr6_m256.09 6 27 39
si2_m4Dr6_m256.00 6 39 37
si2_m4Dr6_m256.07 6 48 38
si2_m4Dr6_m256.04 6 22 38
si2_m4Dr6_m256.02 6 44 40
si2_m4Dr6_m256.01 6 23 37
si2_m4Dr6_m256.08 6 44 52
si2_m4Dr6_m256.03 6 36 38
si6_r01_m200.04 7 84 161
si6_r01_m200.08 7 311 215
si6_r01_m200.02 7 548 628
si6_r01_m200.09 7 76 622
si6_r01_m200.07 7 250 255
si6_r01_m200.00 7 686 793
si6_r01_m200.01 7 148 152
si6_r01_m200.03 7 1710 1959
si6_r01_m200.05 7 565 469
si6_r01_m200.06 7 336 288
