instance family mcsplitdown2 mcsplitdownbiasedrestarts2
F.04 1 6 7
C.18 1 120 122
A.04 1 4 4
C.02 1 178 237
E.01 1 NaN NaN
F.20 1 10 10
B.20 1 73 95
C.08 1 26302 1975
B.11 1 32 32
C.10 1 1867 79
B.06 1 37 27
F.08 1 10 9
B.07 1 55 43
E.04 1 NaN NaN
C.01 1 735 550
B.10 1 29 33
A.15 1 4 4
C.19 1 429 172
B.02 1 52 53
E.06 1 NaN NaN
E.18 1 NaN NaN
C.20 1 200 266
F.02 1 7 11
F.11 1 5 8
F.12 1 8 7
E.05 1 NaN NaN
B.16 1 20 30
A.08 1 3 3
C.14 1 68 88
F.16 1 9 9
F.06 1 6 5
A.03 1 5 2
E.19 1 NaN NaN
C.15 1 2008 1368
A.16 1 2 3
B.14 1 569 75
A.02 1 3 2
F.14 1 10 9
F.05 1 4 7
B.09 1 29 25
A.01 1 3 4
C.05 1 120 69
B.01 1 235 47
A.09 1 3 2
A.07 1 4 5
F.03 1 9 6
E.12 1 NaN NaN
C.06 1 154 202
C.09 1 72 79
B.17 1 89 27
C.07 1 96 73
E.09 1 NaN NaN
E.17 1 NaN NaN
C.11 1 9156 3368
F.10 1 NaN NaN
A.17 1 3 2
B.15 1 34 26
E.03 1 NaN NaN
F.19 1 7 5
A.12 1 1 1
B.08 1 101 235
F.17 1 8 8
C.04 1 NaN 5365
B.19 1 59 50
C.16 1 4241 1830
C.17 1 2674 1922
E.08 1 NaN NaN
F.13 1 5 7
A.20 1 4 4
E.02 1 NaN NaN
E.16 1 NaN NaN
B.12 1 322 402
F.09 1 9 6
A.10 1 3 3
F.18 1 9 5
E.10 1 8 7
A.06 1 3 2
E.15 1 NaN NaN
E.07 1 NaN NaN
E.11 1 NaN NaN
B.03 1 29 31
B.18 1 19 18
C.03 1 94 80
A.18 1 2 4
F.15 1 5 10
A.19 1 4 4
C.12 1 2092 147
B.05 1 65 54
A.13 1 2 3
A.05 1 2 4
F.01 1 6 11
E.20 1 NaN NaN
B.13 1 63 58
A.14 1 3 6
B.04 1 74 45
C.13 1 62 69
F.07 1 9 8
E.13 1 NaN NaN
E.14 1 NaN NaN
A.11 1 2 2
si6_r005_m400.07 7 18 42
si6_r005_m400.00 7 49 47
si6_r005_m400.01 7 15 31
si6_r005_m400.02 7 17 7
si6_r005_m400.04 7 11 14
si6_r005_m400.05 7 8 10
si6_r005_m400.09 7 6 10
si6_r005_m400.03 7 8 12
si6_r005_m400.06 7 5 27
si6_r005_m400.08 7 18 21
si6_m4Dr6_m625.04 6 11 11
si6_m4Dr6_m625.01 6 14 15
si6_m4Dr6_m625.09 6 14 12
si6_m4Dr6_m625.07 6 12 12
si6_m4Dr6_m625.00 6 9 9
si6_m4Dr6_m625.08 6 13 11
si6_m4Dr6_m625.05 6 11 10
si6_m4Dr6_m625.06 6 10 15
si6_m4Dr6_m625.02 6 9 13
si6_m4Dr6_m625.03 6 10 14
si4_m4Dr2_m625.09 6 6 15
si4_m4Dr2_m625.04 6 12 27
si4_m4Dr2_m625.02 6 6 10
si4_m4Dr2_m625.07 6 13 9
si4_m4Dr2_m625.00 6 6 9
si4_m4Dr2_m625.08 6 10 8
si4_m4Dr2_m625.01 6 7 8
si4_m4Dr2_m625.06 6 12 10
si4_m4Dr2_m625.03 6 11 14
si4_m4Dr2_m625.05 6 9 7
si2_r001_m600.00 7 NaN NaN
si2_r001_m600.06 7 NaN NaN
si2_r001_m600.04 7 155 97
si2_r001_m600.07 7 NaN NaN
si2_r001_m600.02 7 NaN NaN
si2_r001_m600.08 7 NaN NaN
si2_r001_m600.03 7 NaN NaN
si2_r001_m600.01 7 NaN NaN
si2_r001_m600.05 7 NaN 33029
si2_r001_m600.09 7 NaN NaN
si2_m4Dr2_m256.09 6 17 9
si2_m4Dr2_m256.03 6 50 51
si2_m4Dr2_m256.04 6 73 60
si2_m4Dr2_m256.07 6 1 2
si2_m4Dr2_m256.00 6 13 6
si2_m4Dr2_m256.06 6 39 39
si2_m4Dr2_m256.08 6 0 0
si2_m4Dr2_m256.05 6 1 1
si2_m4Dr2_m256.01 6 2 5
si2_m4Dr2_m256.02 6 2 3
si6_r001_m600.09 7 10 13
si6_r001_m600.00 7 376 661
si6_r001_m600.07 7 10 18
si6_r001_m600.03 7 18 33
si6_r001_m600.01 7 16 28
si6_r001_m600.06 7 10 16
si6_r001_m600.08 7 10 29
si6_r001_m600.02 7 88 71
si6_r001_m600.04 7 379 605
si6_r001_m600.05 7 16 15
si2_m4Dr2_m1296.05 6 19 61
si2_m4Dr2_m1296.09 6 25 26
si2_m4Dr2_m1296.02 6 47 30
si2_m4Dr2_m1296.07 6 86 60
si2_m4Dr2_m1296.00 6 27 23
si2_m4Dr2_m1296.06 6 104 136
si2_m4Dr2_m1296.08 6 17 29
si2_m4Dr2_m1296.01 6 402 560
si2_m4Dr2_m1296.03 6 28 24
si2_m4Dr2_m1296.04 6 25 29
si4_b06m_m800.08 4 12 14
si4_b06m_m800.00 4 16 11
