instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
F.04 1 1 17 23 19 17 17 19 17 17 545 450 519
C.18 1 1 1 1 1 1 1 1 1 1 3 1 1
A.04 1 1 1 1 1 1 1 1 1 1 3 4 3
C.02 1 1 1 1 1 1 1 1 1 1 1 1 1
E.01 1 0 1 1 1 1 2 1 1 1 2 2 3
F.20 1 1 699 237 466 711 14567 466 731 2040 13207 13270 19330
B.20 1 1 2 2 2 2 2 2 2 2 38 37 37
C.08 1 1 1 1 1 1 1 1 1 1 1 2 1
B.11 1 1 1 1 1 1 1 1 1 1 1 1 1
C.10 1 1 2 2 2 2 2 2 2 2 37 37 38
B.06 1 1 1 1 1 1 1 1 1 1 1 1 1
F.08 1 1 47 158 86 51 361 86 51 51 1373 1249 1245
B.07 1 1 2 2 2 2 2 2 2 2 37 37 37
E.04 1 0 1 1 1 1 2 1 1 1 3 3 2
C.01 1 1 1 1 1 1 1 1 1 1 1 1 2
B.10 1 1 1 1 1 1 1 1 1 1 1 1 1
A.15 1 1 1 1 1 1 1 1 1 1 1 6 1
C.19 1 1 2 2 2 2 2 2 2 2 2 2 2
B.02 1 1 1 1 1 1 1 1 1 1 1 1 1
E.06 1 0 0 0 0 0 0 0 0 0 0 0 0
E.18 1 0 1 1 1 1 2 1 1 1 2 2 2
C.20 1 1 1 1 1 1 1 1 1 1 1 2 1
F.02 1 1 1 1 1 1 1 1 1 1 1 1 3
F.11 1 1 1 1 1 1 1 1 1 1 1 1 1
F.12 1 1 1 1 1 1 1 1 1 1 2 1 1
E.05 1 0 1 1 1 1 2 1 1 1 3 2 2
B.16 1 1 1 1 1 1 1 1 1 1 1 1 3
