instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
F.04 1 1 2 2 2 2 2 2 2 2 48 47 48
C.18 1 1 41 41 41 43 49 39 39 38 468 468 474
A.04 1 1 0 0 0 0 0 0 1 0 20 18 24
C.02 1 1 41 42 41 41 43 39 39 39 504 507 508
E.01 1 0 0 0 0 0 0 0 0 0 38 37 38
F.20 1 1 34 9 21 35 642 22 36 100 70 73 105
B.20 1 1 15 14 22 15 15 14 14 14 196 197 198
C.08 1 1 41 42 40 41 41 38 39 74 496 494 503
B.11 1 1 14 14 14 14 14 14 14 14 195 192 197
C.10 1 1 42 42 41 42 42 38 73 38 500 501 506
B.06 1 1 15 28 28 28 28 14 14 14 194 193 197
F.08 1 1 2 6 4 3 17 4 2 2 53 50 51
B.07 1 1 15 15 15 16 15 14 14 14 175 178 176
E.04 1 0 0 0 0 0 0 0 0 0 38 37 38
C.01 1 1 79 40 79 42 41 75 39 38 503 506 505
B.10 1 1 18 15 17 17 15 14 15 14 194 194 192
A.15 1 1 0 0 0 0 0 0 0 1 16 16 20
C.19 1 1 42 41 41 41 41 38 38 53 493 496 492
B.02 1 1 15 14 14 14 15 14 14 14 196 193 196
E.06 1 0 0 0 0 0 0 0 0 0 0 0 0
E.18 1 0 0 0 0 0 0 0 0 0 38 37 38
C.20 1 1 65 41 41 41 73 38 39 57 467 467 466
F.02 1 1 3 2 2 2 2 2 2 2 42 41 41
F.11 1 1 2 2 2 3 2 2 2 2 43 43 44
F.12 1 1 3 3 3 2 2 2 2 2 44 43 44
E.05 1 0 0 0 0 0 0 0 0 0 36 37 37
B.16 1 1 17 15 15 23 28 27 14 14 197 194 191
A.08 1 1 1 1 0 0 0 0 0 1 17 18 20
C.14 1 1 41 41 41 58 41 38 39 38 503 504 504
F.16 1 1 3 3 3 2 2 3 2 2 44 45 45
F.06 1 1 2 2 2 2 4 2 2 2 48 48 48
A.03 1 1 0 0 0 0 0 0 0 1 19 18 19
E.19 1 0 0 0 0 0 0 0 0 0 37 37 37
C.15 1 1 41 40 41 41 41 38 38 38 503 499 506
A.16 1 1 0 0 0 0 0 0 1 0 16 17 19
B.14 1 1 15 26 14 15 14 14 14 14 193 193 193
A.02 1 1 0 0 0 0 0 0 0 0 16 17 28
F.14 1 1 2 2 2 2 2 2 2 2 41 41 40
F.05 1 1 2 2 2 2 2 2 2 2 44 41 42
B.09 1 1 15 14 14 14 14 14 27 14 194 191 190
A.01 1 1 0 0 0 0 0 0 0 0 16 16 20
C.05 1 1 79 78 40 55 41 38 39 38 468 468 467
B.01 1 1 14 15 15 16 15 27 14 27 175 173 174
A.09 1 1 1 0 0 0 0 1 1 0 20 20 22
A.07 1 1 0 0 1 0 0 0 0 0 16 16 16
F.03 1 1 2 2 2 2 2 2 2 2 41 43 44
E.12 1 0 0 0 0 0 0 0 0 0 36 36 35
C.06 1 1 41 41 41 41 42 38 39 38 494 506 493
C.09 1 1 41 40 41 41 58 41 39 38 503 505 507
B.17 1 1 28 15 14 15 15 14 14 14 193 192 192
C.07 1 1 41 41 53 42 41 38 38 38 506 506 503
E.09 1 0 0 0 0 0 0 0 0 0 37 37 37
E.17 1 0 0 0 0 0 0 0 0 0 36 37 37
C.11 1 1 41 51 42 41 41 39 38 39 501 504 499
F.10 1 0 0 0 0 0 0 0 0 0 37 37 35
A.17 1 1 1 1 1 0 1 1 1 1 17 16 25
B.15 1 1 15 15 15 15 14 14 14 14 196 197 193
E.03 1 0 0 0 0 0 0 0 0 0 37 37 38
F.19 1 1 2 2 2 2 2 2 2 2 46 44 47
A.12 1 1 1 0 0 0 0 0 0 0 19 16 20
B.08 1 1 14 15 29 15 14 14 14 14 195 196 195
F.17 1 1 2 2 2 2 2 2 2 2 45 46 45
C.04 1 1 42 41 41 41 42 38 39 38 471 470 473
B.19 1 1 15 15 15 15 15 14 14 26 195 192 194
C.16 1 1 40 51 62 41 41 39 38 38 506 507 505
C.17 1 1 41 41 41 41 41 38 38 38 503 501 497
E.08 1 0 0 0 0 0 0 0 0 0 36 36 37
F.13 1 1 3 5 7 5 40 4 3 3 48 49 50
A.20 1 1 1 1 1 0 0 1 1 0 16 16 19
E.02 1 0 0 0 0 0 0 0 0 0 37 37 36
E.16 1 0 0 0 0 0 0 0 0 0 37 37 38
B.12 1 1 14 14 15 15 16 14 14 14 172 173 174
F.09 1 1 2 2 2 2 4 2 2 2 44 44 43
A.10 1 1 0 0 0 0 0 0 0 0 17 17 20
F.18 1 1 2 2 2 2 2 2 2 2 44 43 44
E.10 1 1 3 2 2 2 2 2 2 2 41 43 44
A.06 1 1 0 1 0 0 0 0 1 0 16 16 18
E.15 1 0 0 0 0 0 0 0 0 0 37 37 36
E.07 1 0 0 0 0 0 0 0 0 0 34 35 34
E.11 1 0 0 0 0 0 0 0 0 0 37 37 37
B.03 1 1 15 15 15 15 15 26 18 14 199 196 193
B.18 1 1 20 19 15 19 19 17 18 14 174 175 173
C.03 1 1 41 40 45 41 41 39 41 39 471 467 466
A.18 1 1 0 0 0 0 0 1 1 1 25 20 18
F.15 1 1 2 2 2 2 2 2 2 2 43 42 43
A.19 1 1 1 1 1 1 1 0 0 0 16 16 21
C.12 1 1 41 41 41 40 41 38 39 38 502 500 506
B.05 1 1 17 28 18 15 14 18 14 14 190 190 190
A.13 1 1 0 0 0 0 0 1 1 1 17 16 17
A.05 1 1 1 1 0 1 1 10 32 30 20 18 19
F.01 1 1 2 2 2 2 2 2 2 2 43 43 43
E.20 1 0 0 0 0 0 0 0 0 0 36 36 37
B.13 1 1 19 19 19 14 19 15 15 18 169 173 176
A.14 1 1 0 1 1 1 0 1 1 1 16 17 17
B.04 1 1 14 14 15 14 15 16 16 18 194 193 192
C.13 1 1 41 42 40 41 41 40 38 39 504 506 503
F.07 1 1 2 2 2 2 2 2 2 2 46 46 46
E.13 1 0 0 0 0 0 0 0 0 0 36 36 37
